"Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
"BOOKING.COM",165.98,"Chase Sapphire","Travel","Booking Fees","AUD","Y"
"BOOKING.COM",-360.78,"Citi Platinum","Travel","Booking Fees","GBP","N"
"MARRIOTT",-196.65,"Chase Sapphire","Lodging","Hotel","CAD","Y"
"EXPEDIA",-139.3,"Chase Sapphire","Travel","Booking Fees","USD","Y"
"MARRIOTT",-48.6,"Capital One Venture","Lodging","Hotel","AUD","Y"
"STARBUCKS",-34.5,"Chase Sapphire","Meals","Coffee","GBP","Y"
"UNITED AIRLINES",67.88,"American Express","Travel","Airfare","EUR","Y"
"LYFT",-317.43,"American Express","Travel","Ground Transportation","CAD","Y"
"MCDONALDS",-48.04,"Citi Platinum","Meals","Restaurant","USD","Y"
"UBER",-203.59,"Citi Platinum","Travel","Ground Transportation","AUD","Y"
"HILTON",-129.02,"American Express","Lodging","Hotel","GBP","Y"
"EXPEDIA",141.05,"American Express","Travel","Booking Fees","EUR","Y"
"LYFT",-98.62,"Chase Sapphire","Travel","Ground Transportation","BRL","Y"
"HUDSON NEWS",-147.04,"Chase Sapphire","Meals","Snacks","USD","Y"
"STARBUCKS",-350.1,"American Express","Meals","Coffee","USD","Y"
"MCDONALDS",-61.62,"Citi Platinum","Meals","Restaurant","GBP","Y"
"UBER",-103.68,"American Express","Travel","Ground Transportation","EUR","Y"
"MARRIOTT",-181.88,"American Express","Lodging","Hotel","USD","Y"
"MCDONALDS",-135.82,"Citi Platinum","Meals","Restaurant","AUD","Y"
"HUDSON NEWS",-133.92,"Capital One Venture","Meals","Snacks","EUR","N"
"HERTZ",-123.48,"Citi Platinum","Travel","Car Rental","GBP","Y"
"HUDSON NEWS",46.9,"Capital One Venture","Meals","Snacks","EUR","Y"
"HUDSON NEWS",-176.29,"Citi Platinum","Meals","Snacks","AUD","Y"
"AVIS",-129.83,"American Express","Travel","Car Rental","AUD","Y"
"MARRIOTT",-9.79,"Citi Platinum","Lodging","Hotel","AUD","Y"
"EXXON",-23.5,"Citi Platinum","Travel","Fuel","BRL","Y"
"STARBUCKS",-12.57,"American Express","Meals","Coffee","BRL","Y"
